Orden;Clase de orden;Ubicac.técnica;Fe.inic.extrema;Texto breve;Status usuario;Status sistema;Cl.actividad PM;Cst.tot.reales;Ce.emplazam.;Fe.inicio real;Fecha fin real;Plan mant.prev.;Pos.mantenim.;;
10032895;PM01;COL-P1-SECA-Z1400;15/10/2021;INSTALAR NUEVO TREN DE GAS DEL QUEMADOR;ESPS CREA;LIB. EDET MACO MOVM NLIQ PREC;1;0,50;CEGS;;;0;0;;
10033733;PM01;DAL-QP-EMPA-ET1340;15/10/2021;Reparar Driver de accutek;EJEC ESPS;CTEC NOTI KKMP MOVM NLIQ PREC;1;3.491,38;CEGD;25/10/2021;25/10/2021;0;0;;
10033660;PM02;PAR-MS-EMPA-FL1310D;14/10/2021;Mantenimiento a llenadora Doypack;EJEC;CTEC NOTI KKMP NLIQ PREC;1;297,06;CEPF;15/10/2021;15/10/2021;150444;2385;;
10033663;PM02;DAL-LD-STER;14/10/2021;Mantenimiento área esterilización;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150457;2410;;
10033684;PM02;DAL-QP-EMPA-ET1340;14/10/2021;Mantenimiento a Colocadora ET-1340;ESPR;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;150314;2161;;
10033726;PM01;DAL-SV-STAP-T9500;14/10/2021;REEMPLAZAR EMPACADURA EN TUBERIA;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033730;PM01;COL-PC-FLEX-Z3111A;14/10/2021;Ajuste de Rechazador GARVENZ A;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033731;PM01;COL-PC-FLEX;14/10/2021;Cambio de formato en Sala Raumak.;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033732;PM01;COL-SV-SREF-KM9400B;14/10/2021;Revision de motor de compresor B;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;1.922,43;CEGS;;;0;0;;
10033782;PM01;COL-P1-EVAP-E1340;14/10/2021;Extraccion de tornillo y cambio de empaq;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;83,17;CEGS;;;0;0;;
10033665;PM02;DAL-LD-ENVA-FL4200A;13/10/2021;Mantenimiento a llenadora A (UHT);PNEJ;CTEC KKMP NLIQ PREC;1;0,00;CEGD;;;150403;2335;;
10033673;PM02;DAL-SV-SVAP;13/10/2021;Inspección a tableros sistema de vapor;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150391;2322;;
10033724;PM01;DAL-QP-ENVA-TP1220;13/10/2021;Reemplazo correa lateral tapadora;EJEC;CTEC NOTI MACO MOVM NLIQ PREC;1;191,09;CEGD;13/10/2021;13/10/2021;0;0;;
10033725;PM01;DAL-QP-EMPA-ET1320;13/10/2021;Mantenimiento Externo a etiquetadora.;EJEC ESPS;LIB. EDET MACO MOVM NLIQ PREC;1;2.737,15;CEGD;;;0;0;;
10033729;PM01;COL-PC-FLEX;13/10/2021;Desmontar y montaje de sin fin F.B.;EJEC CREA;LIB. KKMP NLIQ PREC;1;0,00;CEGS;;;0;0;;
10033738;PM02;COL-SV-ELAB;13/10/2021;Inspección equipos de Laboratorio 1;CREA;ABIE KKMP PREC;1;0,00;CEGS;;;150151;1762;;
10033741;PM02;COL-SV-ELAB;13/10/2021;Inspección equipos de laboratorio 2;CREA;ABIE KKMP PREC;3;0,00;CEGS;;;150151;1763;;
10033785;PM01;DAL-OP-QANA-FC3250A;13/10/2021;Resetear Variador de Hiladora;EJEC;CTEC NOTI KKMP NLIQ PREC;1;46,32;CEGD;13/10/2021;13/10/2021;0;0;;
10033813;PM01;DAL-QN-COAG-Z2450A;13/10/2021;Corregir Fuga de Aire Torre Formadora;EJEC;LIB. KKMP NLIQ PREC;1;0,00;CEGD;;;0;0;;
10033828;PM01;DAL-QN-COAG-PK2460;13/10/2021;Reparar Empac Vacio de Coag;EJEC;LIB. MACO MOVM NLIQ PREC;1;8,86;CEGD;;;0;0;;
10033251;PM01;COL-SV-ELEC-G9602;12/10/2021;Programar panel de instrumentos de gener;EJEC CREA;LIB. MACO MOVM NLIQ PREC;1;0,09;CEGS;;;0;0;;
10033668;PM02;DAL-SV-STAP;12/10/2021;Inspección a tableros agua potable;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150394;2328;;
10033669;PM02;DAL-QN-COAG;12/10/2021;Inspección válvulas extracción de suero;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150460;2421;;
10033674;PM02;DAL-SV-ACOM;12/10/2021;Inspección a tableros aire comprimido;ESPR;LIB. KKMP NLIQ PREC;3;0,00;CEGD;;;150392;2323;;
